FPR,TPR,Threshold
0.0,0.0,1.9640249974927277
0.0,0.010752688172043012,0.9640249974927279
0.0,0.053763440860215055,0.9407368672604299
0.020833333333333332,0.053763440860215055,0.9364365145029152
0.020833333333333332,0.06451612903225806,0.9226138597311814
0.0625,0.06451612903225806,0.9170682665518871
0.0625,0.22580645161290322,0.9063373964737186
0.08333333333333333,0.22580645161290322,0.9042585193125369
0.08333333333333333,0.34408602150537637,0.873740681051068
0.10416666666666667,0.34408602150537637,0.8680048488053629
0.10416666666666667,0.40860215053763443,0.8068587492407238
0.125,0.40860215053763443,0.800322147579905
0.125,0.44086021505376344,0.784953935727862
0.1875,0.44086021505376344,0.7536333326352089
0.1875,0.46236559139784944,0.7453930080494172
0.20833333333333334,0.46236559139784944,0.7409295841894892
0.20833333333333334,0.4731182795698925,0.7359570221170644
0.22916666666666666,0.4731182795698925,0.7261327519888227
0.22916666666666666,0.5268817204301075,0.7126531177623912
0.2916666666666667,0.5268817204301075,0.6978947238388378
0.2916666666666667,0.6451612903225806,0.675103993736937
0.3333333333333333,0.6451612903225806,0.6702078998260419
0.3333333333333333,0.7419354838709677,0.6564834152642719
0.3541666666666667,0.7419354838709677,0.6561001624817773
0.3541666666666667,0.7741935483870968,0.6541883141798456
0.3958333333333333,0.7741935483870968,0.6501641464677268
0.3958333333333333,0.8387096774193549,0.6446133204824382
0.4166666666666667,0.8387096774193549,0.6418882454875621
0.4166666666666667,0.8924731182795699,0.6306776950225954
0.4375,0.8924731182795699,0.6272908860175506
0.4375,0.9247311827956989,0.6241286416551817
0.4583333333333333,0.9247311827956989,0.6212508350796703
0.4583333333333333,0.9354838709677419,0.6187179749171974
0.4791666666666667,0.9354838709677419,0.6143874615665903
0.4791666666666667,0.989247311827957,0.5465910506298434
0.5,0.989247311827957,0.5335148585343579
0.5,1.0,0.5334499719086824
1.0,1.0,0.08435000998638269
